type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,,"Charming two-story home in the desirable Third Ward, filled with character and classic features. Beautiful hardwood floors, tall double-hung windows, graceful archways, and a bright sunroom create warm and inviting living spaces. The home also includes a cozy small office and a light-filled kitchen. Enjoy southern exposure, a welcoming covered entry, and a private backyard ideal for relaxing or entertaining. Located in a central, highly walkable neighborhood just steps from UWEC and Putnam Park, this home offers both charm and convenience in one of the city's most sought-after areas. Property is being sold in ""as is"" condition.",262500.0,1678.0,2.0,3.0,2.0,1.0,1.0,1.0,1931.0
single_family,,"Welcome to the Forest Park neighborhood! This inviting ranch-style home sits on nearly a half-acre, fully fenced lot, offering tranquil privacy within walking distance of Horace Mann. The interior features a spacious living room centered around a stone-faced gas fireplace with custom built-ins. The eat-in kitchen is equipped with a center island, newer appliances, and high-quality Featherstone cabinetry. The home also offers a functional split-bedroom design, updated bathrooms, and a large family room on the lower level. Ample storage is available throughout the lower level, an oversized two-car garage, and a 12x16 storage building. The property has been meticulously maintained with several key updates: Windows replaced (2014), Roof, soffits, fascia, and gutters (2017/2016), Fireplace stone (2017), New composite deck (2024), Kitchen backsplash (2016), Washer/Dryer (2018), Stainless Refrigerator/Range (2020), and Microwave (2024). Please note that the recently renovated half-bath could easily be converted back to a 3/4 bath if an additional shower is needed.",295000.0,1626.0,1.0,3.0,2.0,1.0,1.0,2.0,1954.0
single_family,,"Escape to this charming rustic log cabin tucked among mature trees in Southern Door County. Just a short walk to Riley's Bay public access, and close to multiple public sand beaches on Sand Bay Point, one of Door County's most desirable recreational locations. Experience nature, comfort, and enjoyment, relaxing weekends, a base camp for fishing trips, kayaking adventures, or quiet evenings around the fire. Main level sleeping area with upper sleeping loft, a functional open concept kitchen and dining area. A pellet stove makes the cabin usable year round. Well maintained and affordable. A rare opportunity. Private Remarks: Sand point well and newer Nature's Head compost toilet system.",182000.0,320.0,,1.0,1.0,1.0,1.0,,1927.0
single_family,,"Beautiful 3BR, 2BA tri-level on nearly 1/2-acre tree-lined lot with great curb appeal & welcoming front porch. A freshly painted interior and brand new LVP flooring create a bright, move-in ready feel. Semi-open concept LR w/NFP flows to dinette & kitchen w/SS appliances & patio doors to deck. Upper features spacious primary BR w/WIC & updated full BA w/LVP flooring, new toilet, mirror, light fixtures & hardware. 2 additional generously-sized BRs complete upper. Partially exposed LL offers expansive FR, full BA & laundry, providing extra living space. Outside, enjoy the large front yard, attached heated 2-car garage plus a storage shed for yard equipment. Major exterior updates in 2020 include roof, exterior paint, and new garage doors, making this home move-in ready inside and out.",375000.0,1538.0,,3.0,2.0,2.0,2.0,2.0,1990.0
single_family,,"Beautiful ranch nestled in the heart of Sun Prairie and within walking distance to schools, dining, and shopping! This thoughtfully designed handicap-accessible home offers durable tile flooring, wide doorways, and multiple barn doors for seamless mobility throughout. The open- concept floor plan showcases a vaulted great room with modern light fixtures and a ceiling fan for added comfort. The spacious full bath features a large accessible shower and connects conveniently to a generous bedroom with two closets. A second bedroom opens to a private deck surrounded by mature trees and birdsong, while the versatile bonus room offers flexibility for a third bedroom, dining space, or home office. The finished lower level adds even more living space with a cozy family room, large bedroom, and full bath. Outside, enjoy the fenced backyard with garden areas, a large patio with ramp access, and double doors leading to a stained deck-perfect for relaxing or entertaining.",399900.0,2218.0,1.0,4.0,3.0,2.0,2.0,2.0,2018.0
single_family,,"Modernized, move-in ready, and one block from Derks Park. This split-entry home has been meticulously updated with sweat equity you can see: fresh paint, deco-style switches, and custom built-ins throughout. The layout offers massive living space to spread out or create a dedicated home office. With three finished bedrooms including a refreshed primary suite, the lower level provides the essential flex space for any lifestyle. Enjoy a low-maintenance fenced yard and a private deck perfect for grilling. A rare find that balances a quiet neighborhood with instant access to the highway. Be ready to fall in love as showings begin February 14th! Any offers received will be reviewed beginning the evening of Sunday, February 15th.",269900.0,1908.0,2.0,3.0,2.0,2.0,2.0,2.0,1987.0
single_family,,"This charming 4-bedroom, 2-bathroom ranch home is awaiting your personal touch! Lovingly maintained, it offers a fantastic opportunity to create your dream living space. The spacious layout provides a comfortable foundation, while the untouched interiors invite your creative vision for modern updates. Don't miss the chance to transform this solid ranch into a contemporary haven. Being Sold In As Is Condition. Priced below Market Value Due to Basement needing repairs. ****Pictures to Come Soon***",240000.0,1501.0,,4.0,2.0,2.0,2.0,2.0,1959.0
single_family,,"Great opportunity to build equity in a convenient Jefferson location, nestled near Rock River Landing Park along the Rock River & the County Fairgrounds--enjoy nearby parks, events & outdoor recreation! This 2-story home offers formal dining w/tray ceiling, main flr sunrm/office, living rm w/2-way FP & eat-in kitchen w/built-in desk. Off the entry is a formal reading/music/meditation rm, plus mud rm. 2nd flr features primary suite, 2 add'l bdrms, full bath & laundry. LL ready to finish for add'l living space. 2.[Redacted Entity]. Great bones & ready for your updates! A/C 2020, furnace 2017, water heater 2015 & water softener 2020. Home sold AS-IS & price reflects condition.",350000.0,2100.0,2.0,3.0,3.0,2.0,2.0,2.0,2000.0
single_family,,"Nicely maintained and tastefully updated 3 bed, 2 bath ranch on Madison's lovely eastside. Brand new roof '25. The remodeled kitchen features refinished cabinets, butcher block countertops, and updated appliances: fridge, range/oven & dishwasher '22, sink & faucet and disposal '21. Enjoy a modern, convenient floor plan with great everyday flow. The lower level offers a finished family room, unfinished rec space, and room to expand --plumbing already roughed in for a potential third full bath. The drop zone between the kitchen and garage allows space for a future main level mudroom/laundry area. Outdoor spaces include a covered front porch, back patio, and a level backyard. Walking trails throughout the neighborhood, with Door Creek Park just a couple blocks away. Nearby conveniences: Metro Market, Great Dane Brewery, Twisted Grounds Coffee, and Kwik Trip. Additional updates: water heater '22, washer & dryer '22, carpet '19, and light fixtures/ceiling fans '19. Fiber internet available.",450000.0,1811.0,1.0,3.0,2.0,2.0,2.0,2.0,2005.0
single_family,,"Rare opportunity to own 125 feet of frontage on beautiful Bark Lake! Set on over an acre of land, this 3-bedroom, 2-bath home offers incredible potential for buyers ready to bring their vision to life. The property enjoys all-day southern sun exposure at the shoreline, creating a bright and desirable lakefront setting. While the home does need some TLC, the possibilities are endless--whether you're looking to renovate, create a year-round lake retreat, or invest in a buy-and-hold lake property. Bark Lake is known for excellent fishing, boating, and year-round recreation, making this a fantastic opportunity to build equity in a sought-after lake community. Bring your ideas and unlock the potential!",425000.0,1616.0,2.0,3.0,2.0,2.0,2.0,2.0,1934.0
multi_family,,"This is a must see! Fully renovated, all brick 3 story two-family home with in-law suite. This solid investment or owner-occupant opportunity features 6 bedrooms and 3 full bathrooms. Each level offering over 1,000 sq. ft. of living space. Additional full basement for added storage and utility as well. Home has been fully renovated with new windows, doors, electrical, plumbing, furnaces, water heaters, kitchens, bathrooms, flooring and balconies. Roof is 5 years old. Private parking lot located behind property. Ideally located with convenient access to downtown Milwaukee, highway, shopping dining and public transportation. This hidden gem is also in a highly sought amazing school district as well. A strong opportunity for investors or owner-occupied buyer. Schedule your showing today.",299000.0,2806.0,,6.0,3.0,3.0,3.0,,1921.0
single_family,,"Updated, Renovated & Move-In Ready MKE Home Blends Classic Charm w/ Modern Improvements Nestled Near Parks, Dining, Shopping & More. Spacious Living Room Floods w/ Natural Light Creating Warm & Inviting Atmosphere Perfect for Relaxation or Entertaining. Renovated Open Concept Kitchen Showcases New Cabinets, Quartz Counters & Updated Appliances. Spacious Primary Bedroom Offers Perfect Private Retreat. Updated Full Bath Impresses w/ Marble Walk-In Shower. Lower Level Includes Convenient 1/2 Bath & Storage w/ Opportunity for Rec Room, Hobby Space or Gym. Fully Fenced in Private Backyard Perfect for Outdoor Relaxation, Gardening or Summer Gatherings. New Windows, New Exterior & Interior Doors, New Gutters & Central Air, New Flooring Throughout. 1 Yr Warranty Incl. Some Media Virtually Enhanced",249900.0,1192.0,2.0,2.0,2.0,1.0,1.0,2.0,1942.0
single_family,,"*SHOWINGS START 2-13-26*...YOU NEED TO MAKE AN APPOINTMENT to see the INSIDE of this remarkable 2+ bedroom, 2 bath...you will be impressed! Affordable ranch home in town of Sheboygan w/city sewer but private well. Your mouth will drop when you see this SENSATIONAL kitchen with granite countertops, floor to ceiling cabinets, ALL appliances included, tile floor & endless counter space!!! Overly spacious living rm w/large window. 2 good-sized BRs on main floor, one w/hardwood floors plus a FULL bath w/tub & shower & tile floor. TOTALLY FENCED-IN BACKYARD w/deck. LL has a guest room or use as a home office, family room & full bath w/shower stall! EXTREMELY well maintained hm. Circle driveway. Quick access to shopping & hwy 23 & I-43. PRICED TO SELL! 48 hr bind, no bind wkds or holidays.",249900.0,1551.0,,2.0,2.0,2.0,2.0,2.0,1959.0
single_family,,"Own a piece of Somers history.This 1890 farmhouse was carefully moved onto a new foundation and completely rebuilt in 1994, blending historic charm with modern reliability. Every inch of finish work and custom woodwork was handcrafted by the homeowner with incredible pride. But wait until you see the outbuilding. 1,750 sq ft radiant-heated workshop/pole building Towering ceilings perfect for a car lift, RV, or serious hobby space 5.25 acres with 4.07 acres zoned Agricultural Custom Touches throughout the home 7000W gas generator for peace of mind Inside you'll find 4 bedrooms, 1.5 baths,and an unfinished basement ready for storage or expansion. Beautiful handcrafted woodwork, flooring, doors and a stunning porch ceiling! A MUST SEE!",599900.0,1582.0,2.0,4.0,2.0,1.0,1.0,3.0,1890.0
single_family,,"Perfect setup for short-term rental income or your own weekend escape! Enjoy two separate homes for the price of one. The first home offers 1 bedroom and 1 bath. The second features 2 bedrooms, 1 bath, and an attached garage. Take in beautiful south-western exposure water views and sunsets and hop in your boat or kayak to explore the all-sport, 1,100-acre waterway right from your property. On chilly nights, gather around the cozy gas fireplace and relax after a day on the water. Newer windows, roof, siding, skylights! Photos staged/enhanced. Call today for your tour today! You deserve it!",499900.0,1400.0,1.0,3.0,2.0,2.0,2.0,1.0,1950.0
farm,,"Showings begin 3/7/26. This sprawling 3.8 acre farmette is sure to delight - especially if you've dreamt about a little extra elbow room just outside Dane County. (You can even put the chickens & cows into your offer if desired!). The home has been refreshed with a beautifully updated eat-in kitchen, including granite counters and tiled backsplash. Enjoy the many features and updates that showcase the home's original charm too: beautiful wood accents, a large breezeway, and a screened porch/gazebo to soak in the warmer days. Main floor laundry and an attached garage make daily living extra convenient. Multiple outbuildings and a fenced enclosure are the perfect way to kickstart your homesteading lifestyle or let your dogs run. Come see the possibilities! Note: The basement finished space does not have a finished ceiling.",389900.0,1843.0,2.0,3.0,2.0,2.0,2.0,2.0,1960.0
single_family,,"Desirable Muskego location on .58 acres with a spacious backyard built for relaxing and entertaining. Enjoy the large deck and the included 7-person Master Spa hot tub, perfect for gatherings or quiet evenings. Inside, this freshly painted home offers abundant natural light and beautiful hardwood floors. The family room features a cozy wood-burning fireplace and patio door leading to the deck. Three generously sized bedrooms and 1.5 updated baths, including a main bath with double sink vanity. The remodeled eat-in kitchen offers great cabinet space and room for everyday living. The unfinished basement provides ample storage with beamed walls and prior drain tile work completed by the previous owner. NEW ROOF in 2024 & added exterior outlets complete this well-maintained, Muskego home.",425000.0,1536.0,1.0,3.0,2.0,1.0,1.0,2.0,1965.0
single_family,,"Nestled on nearly an acre, this distinctive log home offers rustic charm with an exposed stone two-story fireplace, arched doorways, and a wraparound porch. The soaring great room features a floor-to-ceiling fireplace flanked by windows. The efficient eat-in kitchen includes a snack bar. Main-floor ensuite offers dual closets, dual bath access, private deck, and first-floor laundry. Upstairs loft overlooks the great room, plus second suite with walk-in closet. Full basement stubbed for bath, 2.5-car garage, and two sheds. Close to Lake Winnebago and public boat launch. Sold as-is by guardian.",349900.0,1562.0,,2.0,2.0,2.0,2.0,2.0,1991.0
multi_family,,"Well-maintained duplex on a large wooded lot featuring two 2BR/1.5BA units with spacious living rooms and fireplaces. Upper-level cathedral ceilings add great natural light. Major updates include furnace & AC replaced in 2021, new flooring throughout, cabinets, counters, bathrooms, and newer appliances. Ideal for owner-occupant or investment property with strong rental appeal. Offers will be reviewed as they come in with seller reserving the right to accept an offer at anytime. Please allow 48 hours binding acceptance. Seller requests 60 days post closing occupancy rent back for both sides of the duplex.",339900.0,2400.0,,,,,,,1975.0
single_family,,"First time on the market, this gorgeous custom-designed home is filled with decades of family history. Thoughtfully designed by the seller's father and situated next to the home once owned by the Grandfather, this property offers a rare legacy setting. Enjoy natural light through huge front windows. Enjoy 9.32 acres of wooded land, perfect for hunting, exploring, or simply enjoying nature. Outdoor enthusiasts will love the adjacent ATV and snowmobile trails for year-round adventure. The impressive 30x50 3+ car garage offers incredible space and is stubbed for a future bathroom, ideal for a workshop or hobby space. Updates include A/C and furnace (2023) and some newer windows (2024). Roof replaced in 2000. A truly special property combining privacy, recreation, and timeless character.",525000.0,1992.0,2.0,3.0,2.0,2.0,2.0,4.0,1972.0
single_family,,"Welcome to [Redacted Entity] in the Village of Park Ridgean inviting, well-built one-story home tucked into one of the areas most beautifully maintained neighborhoods. Built in 1940 and situated on a spacious 0.32-acre landscaped lot, this property blends timeless character with comfortable, everyday living. The main level offers 1, 472 square feet of thoughtfully designed space, featuring three bedrooms, a full bath, a spacious living room, and a formal dining area ideal for gatherings. The efficient kitchen flows seamlessly into an adjoining dinette with direct access to the deckcreating an effortless transition for morning coffee, summer grilling, and relaxed entertaining. The finished lower level adds approximately 650 square feet of additional living space, complete with a cozy family room, dedicated office area, and a second full bath. Whether hosting guests, working from home, or simply needing room to spread out, the flexible layout adapts with ease. Just a short walk away, the Green Circle Trail invites daily walks and bike rides, while Iverson Park offers year-round recreationfrom cross-country skiing, sledding, and tobogganing in winter to hiking, biking, and swimming at the sandy beach along the Plover River in the warmer months. Mature trees and established perennials frame the home, providing a private and picturesque setting to enjoy throughout the seasons. A wonderful opportunity to own a charming home in a highly sought-after Park Ridge location.",300000.0,2122.0,1.0,3.0,2.0,2.0,2.0,2.0,1940.0
single_family,,"Picture perfect updated ranch that blends modern upgrades with timeless charm. Completely move-in ready, this home features an updated kitchen with quartz countertops, luxury laminate flooring, and an all-new stainless steel appliance package, that opens to a sunny living room. Throughout the home you'll find beautifully refurbished hardwood floors, updated windows, and new patio doors that fill the space with natural light. Major mechanical updates offer peace of mind, including new Furnace, AC/water heater (2019), updated copper plumbing, an updated electrical panel, and a radon mitigation system. Updated bathroom and a ready to finish basement make this a true gem! Fully fenced yard ideal for pets and privacy. Close to everything Port offers.",339900.0,1032.0,1.0,3.0,2.0,1.0,1.0,1.0,1962.0
single_family,,"This cute and well-maintained 3-bedroom, 1.5-bath ranch in walking distance to DOWNTOWN CEDARBURG! The bright living room with a beautiful bay window flows nicely into the dining room, creating an open feel perfect for entertaining. Newly refinished HWF thru-out the main level, adding character, and timeless appeal. The freshly painted interior makes it move-in ready. The kitchen features newer appliances. The partially finished LL provides additional living space with a half bath, making it ideal for a rec room, home office, or workout area. Step outside to enjoy the private backyard with a patio, perfect for relaxing evenings, grilling, or entertaining guests. A wonderful opportunity to enjoy easy living in a great location! *Roof 2020, Water heater '18, siding painted 2024",319900.0,936.0,1.0,3.0,2.0,1.0,1.0,1.0,1959.0
single_family,,"This raised ranch home has 4 bedrooms and two baths. Its ready to move into. Additional rooms include a kitchen-dining, a living room, a family room, and a laundry area. The two car garage has lots of storage with the attic being finished for storage. Nice yard, nice neighborhood, nice deck off the back of the home. This home may not last long, come and see!",189000.0,1760.0,2.0,4.0,2.0,2.0,2.0,2.0,1980.0
